PostID,UserID,Content,Timestamp,Likes,Retweets,Hashtags,SentimentScore
101,5,Absolutely love the UX!,2026-06-03 01:04:57,73,43,"#social,#tech,#UX",0.91
102,9,This app keeps crashing. So annoying.,2026-05-24 20:04:57,112,9,"#love,#mood,#bug",-0.65
103,5,This app keeps crashing. So annoying.,2026-05-30 12:04:57,106,13,#social,0.23
104,6,Worst experience ever.,2026-05-31 22:04:57,134,20,"#UX,#cleanUI,#bug",0.12
105,7,Just another day...,2026-06-02 12:04:57,61,23,"#UX,#fail,#social",-0.26
106,4,Absolutely love the UX!,2026-05-28 00:04:57,30,13,"#tech,#AI,#love",0.36
107,10,Such a smooth interface!,2026-05-30 11:04:57,99,9,"#mood,#fail",0.99
108,7,I’m impressed with the speed.,2026-06-03 12:04:57,51,39,#AI,0.98
109,6,Needs dark mode ASAP!,2026-05-30 01:04:57,88,50,"#mood,#UX",0.75
110,10,This app keeps crashing. So annoying.,2026-06-03 16:04:57,59,21,"#bug,#design",-0.57
111,6,Such a smooth interface!,2026-05-31 16:04:57,1,18,"#design,#tech,#bug",0.01
112,9,Worst experience ever.,2026-05-27 21:04:57,83,35,#cleanUI,0.99
113,8,Can’t stop using it!,2026-05-28 01:04:57,136,30,#design,-0.15
114,5,Great performance on mobile.,2026-05-31 12:04:57,83,43,#fail,-0.52
115,1,Great performance on mobile.,2026-05-25 05:04:57,51,25,"#AI,#cleanUI",-0.97
116,2,Absolutely love the UX!,2026-05-31 08:04:57,86,38,#tech,-0.33
117,9,Can’t stop using it!,2026-05-25 01:04:57,19,3,#tech,-0.5
118,3,Just another day...,2026-05-29 07:04:57,55,42,"#love,#social",0.18
119,4,Needs dark mode ASAP!,2026-05-31 05:04:57,135,49,"#design,#cleanUI,#bug",-0.82
120,6,Such a smooth interface!,2026-05-28 18:04:57,145,24,"#social,#mood",-0.46
121,10,Such a smooth interface!,2026-06-02 13:04:57,35,17,"#mood,#AI,#design",0.9
