UserID,Username,AgeGroup,Country,Verified
1,@rage_user1,Senior,Brazil,False
2,@stream_bot2,Adult,India,False
3,@social_queen3,Adult,UK,False
4,@pixel_pusher4,Teen,Canada,True
5,@stream_bot5,Adult,UK,False
6,@stream_bot6,Senior,Canada,True
7,@calm_mind7,Teen,Canada,True
8,@calm_mind8,Adult,Brazil,True
9,@calm_mind9,Teen,US,True
10,@pixel_pusher10,Adult,India,True
11,@rage_user11,Senior,UK,True
12,@calm_mind12,Senior,UK,False
13,@calm_mind13,Teen,Brazil,False
14,@stream_bot14,Senior,India,True
15,@techie4215,Adult,UK,False
16,@social_queen16,Adult,Brazil,False
17,@social_queen17,Senior,US,False
18,@stream_bot18,Adult,Canada,False
19,@calm_mind19,Senior,Germany,True
20,@daily_vibes20,Teen,Canada,True
21,@stream_bot21,Senior,Canada,False
22,@social_queen22,Teen,Canada,True
23,@meme_lord23,Senior,Germany,False
24,@social_queen24,Adult,India,True
25,@rage_user25,Teen,UK,True
26,@rage_user26,Senior,Brazil,False
27,@critic9927,Senior,Germany,True
28,@stream_bot28,Teen,UK,False
29,@techie4229,Adult,Brazil,False
30,@designer_dan30,Adult,Canada,False
31,@pixel_pusher31,Teen,India,False
32,@meme_lord32,Adult,India,False
33,@meme_lord33,Adult,Brazil,True
34,@calm_mind34,Teen,Germany,True
35,@pixel_pusher35,Adult,India,False
36,@calm_mind36,Senior,US,False
37,@calm_mind37,Adult,US,True
38,@calm_mind38,Adult,India,True
39,@meme_lord39,Senior,Germany,False
40,@daily_vibes40,Senior,Germany,True
41,@calm_mind41,Adult,Germany,False
42,@daily_vibes42,Senior,India,False
43,@stream_bot43,Adult,India,False
44,@critic9944,Senior,Germany,False
45,@stream_bot45,Teen,Brazil,True
46,@calm_mind46,Teen,Germany,True
47,@meme_lord47,Teen,Canada,True
48,@designer_dan48,Adult,Canada,False
49,@designer_dan49,Senior,UK,False
50,@calm_mind50,Teen,US,False
